Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
||4|c|1|(x,y,z)|(-x,-y,z)|(-x+1/2,y,z+1/2)|(x+1/2,-y,z+1/2)
||2|b|..2|(0,1/2,z)|(1/2,1/2,z+1/2)||
||2|a|..2|(0,0,z)|(1/2,0,z+1/2)||
P 2 n a|151|||||||
||4|c|1|(x,y,z)|(x,-y,-z)|(x+1/2,y,-z+1/2)|(x+1/2,-y,z+1/2)
||2|b|..2|(x,1/2,0)|(x+1/2,1/2,1/2)||
||2|a|..2|(x,0,0)|(x+1/2,0,1/2)||
P 2 a n|152|||||||
||4|c|1|(x,y,z)|(x,-y,-z)|(x+1/2,-y+1/2,z)|(x+1/2,y+1/2,-z)
||2|b|..2|(x,0,1/2)|(x+1/2,1/2,1/2)||
||2|a|..2|(x,0,0)|(x+1/2,1/2,0)||
P b 2 n|153|||||||
||4|c|1|(x,y,z)|(-x,y,-z)|(-x+1/2,y+1/2,z)|(x+1/2,y+1/2,-z)
||2|b|..2|(0,y,1/2)|(1/2,y+1/2,1/2)||
||2|a|..2|(0,y,0)|(1/2,y+1/2,0)||
P n 2 b|154|||||||
||4|c|1|(x,y,z)|(-x,y,-z)|(x,y+1/2,-z+1/2)|(-x,y+1/2,z+1/2)
||2|b|..2|(1/2,y,0)|(1/2,y+1/2,1/2)||
||2|a|..2|(0,y,0)|(0,y+1/2,1/2)||
P m n 21|155|||||||
||4|b|1|(x,y,z)|(-x+1/2,-y,z+1/2)|(x+1/2,-y,z+1/2)|(-x,y,z)
||2|a|m..|(0,y,z)|(1/2,-y,z+1/2)||
P n m 21|156|||||||
||4|b|1|(x,y,z)|(-x,-y+1/2,z+1/2)|(-x,y+1/2,z+1/2)|(x,-y,z)
||2|a|m..|(x,0,z)|(-x,1/2,z+1/2)||
P 21 m n|157|||||||
||4|b|1|(x,y,z)|(x+1/2,-y+1/2,-z)|(x+1/2,y+1/2,-z)|(x,-y,z)
||2|a|m..|(x,0,z)|(x+1/2,1/2,-z)||
P 21 n m|158|||||||
||4|b|1|(x,y,z)|(x+1/2,-y,-z+1/2)|(x+1/2,-y,z+1/2)|(x,y,-z)
||2|a|m..|(x,y,0)|(x+1/2,-y,1/2)||
P n 21 m|159|||||||
||4|b|1|(x,y,z)|(-x,y+1/2,-z+1/2)|(-x,y+1/2,z+1/2)|(x,y,-z)
||2|a|m..|(x,y,0)|(-x,y+1/2,1/2)||
P m 21 n|160|||||||
||4|b|1|(x,y,z)|(-x+1/2,y+1/2,-z)|(x+1/2,y+1/2,-z)|(-x,y,z)
||2|a|m..|(0,y,z)|(1/2,y+1/2,-z)||
P b a 2|161|||||||
||4|c|1|(x,y,z)|(-x,-y,z)|(x+1/2,-y+1/2,z)|(-x+1/2,y+1/2,z)
||2|b|..2|(0,1/2,z)|(1/2,0,z)||
||2|a|..2|(0,0,z)|(1/2,1/2,z)||
P 2 c b|162|||||||
||4|c|1|(x,y,z)|(x,-y,-z)|(x,y+1/2,-z+1/2)|(x,-y+1/2,z+1/2)
||2|b|..2|(x,0,1/2)|(x,1/2,0)||
||2|a|..2|(x,0,0)|(x,1/2,1/2)||
P c 2 a|163|||||||
||4|c|1|(x,y,z)|(-x,y,-z)|(-x+1/2,y,z+1/2)|(x+1/2,y,-z+1/2)
