0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 
0 1 (2+7) 2 (2+11) (1+5) 3 (1+7) (8+1) (3+8) 4 5 6 (1+8) (10+1) 7 8 9 (8+3) (7+2) 10 11 (17+3) (4+15) (11+2) (3+17) (15+4) 12 13 14 15 16 
(0+7) 0 1 2 3 (0+7) (14+1) 4 5 (3+5) (9+2) 6 (8+7) 7 8 9 (25+2) 10 11 12 (20+14) (7+0) 13 14 (2+25) (7+0) 15 (7+10) (14+4) (12+11) 16 17 
0 (1+2) 1 2 3 4 (5+7) (4+14) (2+1) 5 (5+22) (4+8) 6 (7+5) 7 8 (7+4) (0+2) (2+1) (3+13) (11+20) 9 10 (13+3) (6+0) (2+0) (21+2) 11 12 13 (2+21) 14 
0 1 (1+2) (1+9) (0+7) (6+4) 2 3 4 5 (1+14) 6 (6+1) (4+6) (0+12) (3+15) 7 (1+5) 8 9 (9+6) (9+1) (1+6) 10 (10+0) (15+3) (2+11) 11 12 (11+4) 13 14 
(0+2) 0 1 (9+10) 2 3 4 5 6 (3+19) (9+3) 7 8 (26+4) (9+5) (2+0) 9 10 11 (0+7) 12 13 (1+6) 14 (7+0) 15 (19+3) 16 17 18 19 20 
0 1 (0+4) (5+11) 2 3 4 5 6 7 (9+13) 8 9 (4+0) 10 (6+3) (2+16) (4+14) 11 12 13 14 (3+6) 15 16 17 18 19 20 21 22 23 
(12+4) (16+6) 0 1 2 3 (1+6) 4 (14+0) (0+10) (2+18) (0+14) 5 6 7 (11+2) 8 (5+2) 9 (1+10) 10 (10+0) 11 12 13 14 15 16 17 18 (5+10) 19 
(3+0)mLA2 0 (0+3) (2+26) 1 2 3 4 5 (7+0) (1+2) 6 (11+4) 7 8 (1+10) 9 (0+8) 10 11 (9+11) (12+17) 12 (11+9) 13 14 15 16 (6+8) 17 18 19 
0 (5+0) (1+0) (1+7) (3+8) 1 2 3 4 5 6 7 8 9 10 (5+15) 11 12 13 14 (9+2) (3+5) 15 16 17 (2+16) 18 19 20 (2+6) (15+5) 21 
0 1 (2+11) (13+2) 2 (2+11) 7mZPR 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 (11+26) 25 26 
(1+12) 0 (16+2) 1 (2+3) 2 (4+0) 3 4 (19+5) 5 (5+19) 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
(0+1) 0 (7+3) (7+3) 1 (3+2) 2 (3+7) 3 4 (2+8) 5 6 7 (8+2) 8 (27+4) (17+1) 9 10 (15+9) 11 (10+0) 12 13 14 (13+20) 15 16 17 18 19 
0 1 (17+10) (0+9) (10+0) (0+10) 2 (2+10) 3 4 (7+5) (8+15) (9+0) (7+5) 5 (5+7) 6 7 (5+7) 8 9 (10+2) 10 11 (14+6) (12+10) (10+12) 12 (6+14) 13 14 (15+8) 
0 1 2 3 (3+5) (9+1) (3+8) (4+5) 4 (0+2) (1+9) (7+3) (3+18) (3+7) (5+3) (13+2) (5+4) 5 (18+3) (8+3) 6 7 (17+6) (9+6) 8 (24+20)mR22 (14+6) (6+14) 9 (17+15) 10 11 
0 1 2 (3+2) 3 (5+21) 4 (5+0) 5 (0+5) (4+8) (6+8) (1+9) (10+9) (8+4) (6+4) (9+1) (6+9) 6 7 (12+0) (4+6) (8+6) (0+12) 8 9 10 (0+16) (16+0) 11 12 (13+15) 
(1+0) (0+10) 0 1 2 (2+3) (3+2) 3 4 (5+7) (9+3) 5 (9+8) 6 (3+9) (7+24) (7+5) 7 8 9 (8+9) 10 (25+15) 11 12 13 (20+6) (17+7) (15+25) 14 (0+5) 15 
(9+3) 0 1 (2+5) 2 3 4 5 6 7 (20+7) (7+2) 8 (4+11) (9+13) 9 (10+11) 10 11 12 (11+10) 13 14 15 (13+9) 16 17 (7+20) (3+9) 18 (2+8) 19 
0 1 2 3 4 5 6 (8+6) 7 8 9 10 (17+8) (1+5) 11 12 13 14 15 16 17 (0+7) 18 19 20 21 22 23 (7+5) 24 25 (19+15) 
(0+27) 0 1 (0+5) 2 3 (4+3) 4 5 6 7 8 (13+4) 9 (9+14) 10 11 12 (14+9) 13 (8+9) (11+6) (14+1) 14 15 16 17 18 19 20 21 22 
0 1 (15+4) 2 3 4 5 6 7 8 9 10 (12+9) 11 12 13 14 15 (4+7) 16 17 18 19 20 21 22 23 24 (3+15) 25 26 27 
0 1 2 3 4 5 6 (8+7) 7 (7+8) 8 (9+2) 9 10 11 12 13 14 15 16 17 (3+13) 18 (11+23) 19 20 21 22 23 24 25 26 
0 1 2 (1+4) 3 (1+23) (4+1) 4 (2+6) 5 6 (9+7) 7 8 9 (7+9) 10 11 12 13 14 15 16 17 18 19 20 21 22 23 (23+1) 24 
(1+8) 0 1 2 (5+1) 3 (3+1) 4 5 6 7 (18+3) (3+18) 8 9 10 (11+2) 11 12 13 (12+13) 14 15 16 17 18 19 20 21 22 23 24 
0 1 (8+1) 2 (6+2) 3 4 5 6 7 8 9 10 11 12 13 14 15 (16+17) 16 17 18 19 20 21 22 23 24 25 26 27 28 
0 (0+2) 1 2 3 4 5 6 7 8 9 (12+4) 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 
0 (0+8) 1 2 3 4 5 6 7 8 9 10 11 (14+3) 12 13 14 15 (18+2) 16 17 18 19 (20+7) 20 21 22 23 24 25 26 27 
(16+15)mLA1 (3+7) 0 1 2 (6+13) (10+20) (7+0) (3+4) (2+12) 3 (13+3) 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 (15+16) 19 (20+10) 20 21 
(0+1) 0 (1+3) 1 2 3 (3+2) 4 (4+14) 5 6 7 (3+8) 8 9 10 11 12 13 14 15 (14+29) 16 17 18 19 20 21 22 (5+13) 23 24 
